InvoiceNo,InvoiceValue,TotalQuantity,NumItems,ValueBin
545060,406.74,270,63,£200-500
545061,14.95,1,1,<£50
545062,275.25,102,67,£200-500
545063,134.72,47,36,£100-200
545064,154.5,65,11,£100-200
545066,239.17000000000002,107,43,£200-500
545067,258.4,64,29,£200-500
545069,240.60000000000002,188,7,£200-500
545070,240.0,168,8,£200-500
545071,222.29,120,33,£200-500
545073,626.65,268,38,£500-1K
545074,306.70000000000005,278,12,£200-500
545075,319.9,168,20,£200-500
545076,147.9,147,9,£100-200
545077,10.08,24,1,<£50
545078,899.96,186,126,£500-1K
545079,102.89999999999999,59,30,£100-200
545080,301.91,301,24,£200-500
545081,683.98,217,40,£500-1K
545082,421.6,228,26,£200-500
545083,103.65,31,5,£100-200
545085,928.08,444,72,£500-1K
545087,513.45,467,8,£500-1K
545103,11.9,2,1,<£50
545148,308.44,204,15,£200-500
545149,251.9,101,13,£200-500
545150,736.7,385,46,£500-1K
545151,50.76,84,3,£50-100
545152,306.84,208,14,£200-500
545153,203.35,78,21,£200-500
545154,425.5,206,27,£200-500
545155,122.0,20,11,£100-200
545156,209.32,260,12,£200-500
545157,205.38,150,12,£200-500
545158,584.35,52,5,£500-1K
545159,13.05,17,4,<£50
545160,48.0,1,1,<£50
545161,195.0,124,9,£100-200
545162,480.90000000000003,247,22,£200-500
545163,216.04999999999998,139,13,£200-500
545164,173.7,98,11,£100-200
545165,109.95,23,20,£100-200
545166,239.13,88,42,£200-500
545170,170.04999999999998,34,7,£100-200
545176,764.12,1,1,£500-1K
545182,154.99,460,14,£100-200
545183,314.90000000000003,100,18,£200-500
545184,249.57,133,14,£200-500
545185,79.2,144,1,£50-100
545186,229.9,114,47,£200-500
545187,109.8,84,4,£100-200
545188,598.96,372,131,£500-1K
545190,242.95,89,15,£200-500
545213,190.7,124,11,£100-200
545214,158.68,100,10,£100-200
545215,1995.37,573,225,>£1K
545216,1520.38,369,179,>£1K
545217,1420.78,356,167,>£1K
545218,463.40999999999997,155,14,£200-500
545220,235.35,73,15,£200-500
545221,521.1,260,30,£500-1K
545222,200.10000000000002,94,9,£200-500
545223,34.0,4,1,<£50
545224,182.7,86,11,£100-200
545225,161.8,136,3,£100-200
545228,79.2,16,1,£50-100
545229,54.300000000000004,18,3,£50-100
545230,55.36,12,6,£50-100
545231,307.62,255,12,£200-500
545232,897.8,555,61,£500-1K
545233,72.12,100,10,£50-100
545234,256.85,109,12,£200-500
545237,133.25,121,6,£100-200
545238,395.33,434,28,£200-500
545276,110.75,65,8,£100-200
545279,122.5,53,7,£100-200
545287,117.0,60,1,£100-200
545288,1390.06,1003,33,>£1K
545289,470.88,242,30,£200-500
545290,210.3,114,18,£200-500
545294,313.58,298,33,£200-500
545299,4.95,1,1,<£50
545300,323.16,116,19,£200-500
545302,297.16,107,38,£200-500
545303,204.5,175,16,£200-500
545304,498.15000000000003,151,30,£200-500
545305,317.15,46,7,£200-500
545306,13.2,6,2,<£50
545308,133.11,40,29,£100-200
545309,138.15,49,7,£100-200
545310,17.67,21,5,<£50
545311,155.0,108,9,£100-200
545312,186.33,205,29,£100-200
545313,242.03,135,10,£200-500
545315,231.06,34,24,£200-500
545316,116.78999999999999,18,17,£100-200
545317,580.41,77,49,£500-1K
545318,556.32,504,11,£500-1K
545319,412.32,152,4,£200-500
545321,310.78,146,12,£200-500
545322,580.57,349,15,£500-1K
545324,268.6,68,27,£200-500
545325,329.34000000000003,322,4,£200-500
545326,34.75,5,2,<£50
545327,417.2,216,41,£200-500
545328,119.65,59,6,£100-200
545331,2.5,2,1,<£50
545333,1734.52,429,160,>£1K
545334,272.05,257,48,£200-500
545337,234.35,123,35,£200-500
545338,338.34,156,51,£200-500
545339,463.0,228,19,£200-500
545340,1375.24,786,69,>£1K
545341,1642.5,150,1,>£1K
545342,194.55,109,10,£100-200
545343,162.3,62,10,£100-200
545344,312.18,182,18,£200-500
545345,382.1,41,16,£200-500
545346,312.38,110,18,£200-500
545347,76.32000000000001,72,1,£50-100
545348,134.97,87,4,£100-200
545349,172.6,146,34,£100-200
545377,122.07,62,37,£100-200
545398,1463.47,958,46,>£1K
545400,501.99,281,23,£500-1K
545408,848.05,335,35,£500-1K
545410,615.33,371,40,£500-1K
545411,388.3,174,20,£200-500
545412,597.8100000000001,203,7,£500-1K
545413,255.0,750,3,£200-500
545414,838.8000000000001,24,1,£500-1K
545415,453.79,309,31,£200-500
545416,603.17,231,21,£500-1K
545417,576.0,222,29,£500-1K
545418,85.0,10,1,£50-100
545419,374.64,220,28,£200-500
545423,337.1,176,23,£200-500
545424,3.8,4,1,<£50
545425,100.43,43,11,£100-200
545426,276.66,82,6,£200-500
545427,9.95,1,1,<£50
545428,430.5,148,22,£200-500
545429,150.83,67,24,£100-200
545430,306.7,82,8,£200-500
545431,374.0,128,4,£200-500
545433,207.50000000000003,50,1,£200-500
545435,183.0,60,11,£100-200
545441,108.32000000000001,62,14,£100-200
545445,779.92,292,41,£500-1K
545447,1193.88,546,66,>£1K
545459,151.07,151,16,£100-200
545460,281.43,137,80,£200-500
545461,401.45,219,22,£200-500
545462,535.38,348,29,£500-1K
545463,96.75,57,3,£50-100
545464,1749.57,434,193,>£1K
545465,114.84,64,4,£100-200
545466,1396.0,200,1,>£1K
545467,105.45,15,4,£100-200
545468,436.68,378,29,£200-500
545469,345.85,85,18,£200-500
545470,137.1,97,9,£100-200
545471,306.94,470,15,£200-500
545474,1120.53,363,31,>£1K
545477,134.5,28,16,£100-200
545503,183.65,78,29,£100-200
545505,482.81,347,5,£200-500
545512,124.68,42,5,£100-200
545514,222.65,257,20,£200-500
545518,309.38,358,16,£200-500
545519,348.2,236,14,£200-500
545521,76.1,133,2,£50-100
545522,303.03,149,17,£200-500
545523,210.05,72,42,£200-500
545524,191.95,29,12,£100-200
545526,225.9,74,14,£200-500
545530,2114.71,1345,98,>£1K
545534,222.3,98,13,£200-500
545535,73.92,96,2,£50-100
545543,727.6,164,29,£500-1K
545544,294.33,459,20,£200-500
545545,187.11,87,49,£100-200
545550,148.49,203,7,£100-200
545555,137.62,57,20,£100-200
545558,485.78000000000003,302,11,£200-500
545559,288.47,138,52,£200-500
545568,1799.3799999999999,522,225,>£1K
545571,602.61,319,36,£500-1K
545573,124.10000000000001,94,8,£100-200
545574,122.7,80,18,£100-200
545575,515.38,146,11,£500-1K
545576,99.75,13,3,£50-100
545577,161.5,47,14,£100-200
545578,137.49,95,8,£100-200
545580,378.21000000000004,211,20,£200-500
545581,733.78,232,14,£500-1K
545582,3547.34,1976,23,>£1K
545584,7.95,1,1,<£50
545586,44.85,43,11,<£50
545587,282.74,222,60,£200-500
545588,222.99,131,15,£200-500
545589,333.2,178,15,£200-500
545590,316.11,275,23,£200-500
545591,356.9,235,22,£200-500
545592,369.95,125,18,£200-500
545593,102.4,16,3,£100-200
545595,167.91,85,20,£100-200
545596,265.0,136,15,£200-500
545597,50.15,10,9,£50-100
545601,152.00000000000003,52,9,£100-200
545602,109.16,87,13,£100-200
545603,38.1,14,2,<£50
545630,332.4,108,8,£200-500
545635,240.68,224,16,£200-500
545636,416.69,237,23,£200-500
545637,292.03,261,20,£200-500
545638,235.91,85,9,£200-500
545644,1920.48,3528,5,>£1K
545646,38.0,14,6,<£50
545648,96.8,60,6,£50-100
545649,119.31,51,37,£100-200
545652,50.8,16,3,£50-100
545653,935.54,579,35,£500-1K
545654,345.68,256,17,£200-500
545655,99.59,69,46,£50-100
545656,99.0,12,6,£50-100
545658,311.94,268,86,£200-500
545659,45.0,36,3,<£50
545660,310.77,159,37,£200-500
545661,829.85,739,52,£500-1K
545662,208.2,92,11,£200-500
545663,162.07999999999998,203,13,£100-200
545665,164.4,136,13,£100-200
545667,1397.75,354,187,>£1K
545668,532.13,301,10,£500-1K
545669,186.9,66,10,£100-200
545670,292.75,65,5,£200-500
545675,15.0,12,1,<£50
545676,246.76000000000002,152,6,£200-500
545680,346.1,190,5,£200-500
545681,655.03,289,58,£500-1K
545682,253.79,111,40,£200-500
545683,533.18,234,59,£500-1K
545684,279.8,76,7,£200-500
545685,126.02000000000001,73,44,£100-200
545686,137.9,56,8,£100-200
545687,508.45,345,73,£500-1K
545688,635.17,212,61,£500-1K
545690,427.03000000000003,185,110,£200-500
545691,263.04,140,25,£200-500
545692,510.7,188,15,£500-1K
545693,796.86,746,12,£500-1K
545694,120.0,96,1,£100-200
545695,841.37,352,87,£500-1K
545696,230.0,112,21,£200-500
545697,147.23,110,32,£100-200
545698,225.14,19,15,£200-500
545699,220.77,196,25,£200-500
545700,166.45,150,16,£100-200
545701,1695.21,826,65,>£1K
545702,136.76999999999998,47,20,£100-200
545703,7.95,1,1,<£50
545704,215.55,23,6,£200-500
545705,217.2,74,14,£200-500
545707,673.9,506,4,£500-1K
545708,142.28,76,8,£100-200
545710,90.6,72,7,£50-100
545711,159.3,66,8,£100-200
545712,180.60000000000002,45,10,£100-200
545713,5307.65,1365,120,>£1K
545714,504.46000000000004,76,44,£500-1K
545715,786.23,118,50,£500-1K
545716,912.6899999999999,132,55,£500-1K
545717,638.9399999999999,79,46,£500-1K
545719,1656.15,599,68,>£1K
545721,608.45,264,43,£500-1K
545722,475.20000000000005,96,1,£200-500
545725,162.85,47,5,£100-200
545738,75.6,72,2,£50-100
545748,1588.68,1476,14,>£1K
545752,431.28,888,3,£200-500
545759,806.05,204,23,£500-1K
545764,294.17,130,15,£200-500
545790,17.0,2,1,<£50
545797,326.91,176,59,£200-500
545812,638.65,313,37,£500-1K
545815,328.8,160,11,£200-500
545819,102.0,44,15,£100-200
545820,40.2,14,2,<£50
545821,591.02,338,27,£500-1K
545822,17.9,2,1,<£50
545826,318.24,301,16,£200-500
545827,24.45,9,9,<£50
545830,455.04,125,51,£200-500
545832,17.9,2,2,<£50
545835,117.55,41,22,£100-200
545838,106.37,52,40,£100-200
545842,557.0,238,30,£500-1K
545851,108.97999999999999,58,20,£100-200
545853,162.7,96,17,£100-200
545854,580.79,374,34,£500-1K
545855,246.29999999999998,138,11,£200-500
545856,89.70000000000002,24,4,£50-100
545858,24.0,6,1,<£50
545859,593.9200000000001,276,16,£500-1K
545865,2597.4,1548,8,>£1K
545868,145.7,52,25,£100-200
545869,196.45000000000002,143,13,£100-200
545870,15.299999999999999,6,1,<£50
545871,134.9,109,10,£100-200
545872,381.75,284,90,£200-500
545873,110.2,22,6,£100-200
545874,79.4,70,8,£50-100
545883,147.95000000000002,45,9,£100-200
545888,416.22,322,5,£200-500
545889,45.0,1,1,<£50
545890,92.80000000000001,24,5,£50-100
545894,211.36,95,23,£200-500
545895,2092.33,554,223,>£1K
545896,61.589999999999996,118,5,£50-100
545897,1762.22,577,255,>£1K
545898,88.05,57,10,£50-100
545899,74.7,25,12,£50-100
545900,195.0,1,1,£100-200
545901,1031.37,408,164,>£1K
545902,250.0,2,2,£200-500
545904,126.65,43,7,£100-200
545905,197.0,196,14,£100-200
545906,1120.93,623,59,>£1K
545907,300.36,274,16,£200-500
545908,461.25,251,20,£200-500
545909,639.64,522,41,£500-1K
545910,237.36,444,19,£200-500
545911,181.44,864,2,£100-200
545912,325.1,50,6,£200-500
545913,431.58000000000004,220,14,£200-500
545914,3678.03,1605,51,>£1K
545915,329.08,168,16,£200-500
545918,391.52,232,9,£200-500
545928,357.18,134,19,£200-500
545933,496.0,349,28,£200-500
545945,122.61,72,24,£100-200
545978,678.76,454,117,£500-1K
545979,111.0,116,26,£100-200
545980,277.17,154,54,£200-500
545987,105.53999999999999,18,3,£100-200
545989,301.4,32,3,£200-500
545991,896.7099999999999,565,29,£500-1K
545992,123.35,23,3,£100-200
545993,421.09,199,6,£200-500
545995,767.84,418,70,£500-1K
545996,983.16,480,82,£500-1K
545998,987.7,458,50,£500-1K
545999,1195.95,699,58,>£1K
546000,72.0,32,4,£50-100
546001,329.36,52,4,£200-500
546002,2.55,1,1,<£50
546003,370.77,155,54,£200-500
546004,2.55,1,1,<£50
546005,794.41,379,53,£500-1K
546006,108.5,49,7,£100-200
546007,1273.26,302,189,>£1K
546008,1572.65,422,204,>£1K
546009,328.37,157,11,£200-500
546011,367.20000000000005,936,2,£200-500
546013,238.01,165,32,£200-500
546014,8.5,1,1,<£50
546015,534.4200000000001,434,29,£500-1K
546017,339.36,222,28,£200-500
546019,39.49,50,11,<£50
546028,924.5400000000001,314,40,£500-1K
546029,17.700000000000003,6,1,<£50
546030,118.5,90,8,£100-200
546031,201.5,90,9,£200-500
546032,85.15,45,6,£50-100
546033,15.9,2,1,<£50
546034,309.64,291,20,£200-500
546035,229.8,76,7,£200-500
546036,240.10000000000002,78,9,£200-500
546037,247.4,52,9,£200-500
546038,588.6700000000001,165,12,£500-1K
546062,148.63,215,20,£100-200
546067,2099.7,780,4,>£1K
546079,188.25,87,27,£100-200
546082,221.4,612,2,£200-500
546083,38.98,50,3,<£50
546084,617.1,384,40,£500-1K
546087,84.36,156,5,£50-100
546088,298.0,21,7,£200-500
546089,208.41,383,32,£200-500
546090,660.34,306,7,£500-1K
546092,380.5,126,24,£200-500
546096,1711.06,1566,55,>£1K
546100,342.58,202,21,£200-500
546101,188.64,48,5,£100-200
546102,17.700000000000003,6,1,<£50
546103,304.5,124,5,£200-500
546104,98.7,15,11,£50-100
546105,268.51,238,47,£200-500
546107,233.17,136,51,£200-500
546108,382.86,335,60,£200-500
546109,33.9,2,2,<£50
546110,261.6,32,7,£200-500
546111,122.53999999999999,54,25,£100-200
546112,330.0,200,1,£200-500
546113,146.18,157,23,£100-200
546115,371.84000000000003,188,21,£200-500
546116,764.58,412,36,£500-1K
546117,704.33,353,71,£500-1K
546118,846.45,212,26,£500-1K
546119,308.98,201,19,£200-500
546120,79.92,104,6,£50-100
546121,155.45,107,25,£100-200
546122,91.54,35,15,£50-100
546123,264.27,107,7,£200-500
546127,411.18,158,10,£200-500
546132,358.5,54,3,£200-500
546133,984.88,516,52,£500-1K
546136,1659.07,402,222,>£1K
546153,337.5,50,5,£200-500
546154,500.0,400,1,£200-500
546155,394.63,307,26,£200-500
546156,232.6,78,11,£200-500
546157,74.56,50,5,£50-100
546158,298.5,122,15,£200-500
546159,223.95000000000002,141,13,£200-500
546160,3277.24,1844,32,>£1K
546163,146.23000000000002,57,12,£100-200
546164,547.35,165,7,£500-1K
546165,312.8,120,19,£200-500
546166,270.4,208,3,£200-500
546169,660.0,400,2,£500-1K
546171,130.56,90,5,£100-200
546182,366.53,249,25,£200-500
546189,300.53999999999996,191,16,£200-500
546190,199.2,80,9,£100-200
546215,124.94999999999999,87,29,£100-200
546216,853.48,664,14,£500-1K
546218,144.9,58,14,£100-200
546220,541.1,584,28,£500-1K
546223,462.28000000000003,288,21,£200-500
546230,397.55,145,22,£200-500
546235,115.57000000000001,46,20,£100-200
546237,333.08,164,23,£200-500
546239,185.15,167,16,£100-200
546242,360.78000000000003,306,27,£200-500
546243,310.47,175,19,£200-500
546246,789.9,322,30,£500-1K
546247,101.34,106,7,£100-200
546248,214.5,112,13,£200-500
546249,99.95,47,24,£50-100
546250,282.93,183,18,£200-500
546251,576.1,872,17,£500-1K
546253,130.26,66,5,£100-200
546254,268.58,62,10,£200-500
546255,245.51999999999998,180,16,£200-500
546261,139.79,71,48,£100-200
546275,209.94,246,16,£200-500
546279,4.25,1,1,<£50
546293,67.8,12,9,£50-100
546301,93.18,66,5,£50-100
546303,8.62,1,1,<£50
546304,117.11,63,20,£100-200
546305,232.43,156,34,£200-500
546306,1587.23,345,166,>£1K
546310,330.6,52,5,£200-500
546311,7.9,2,2,<£50
546312,16.95,1,1,<£50
546314,166.5,116,19,£100-200
546315,365.18,160,22,£200-500
546316,182.7,54,7,£100-200
546317,314.96,484,25,£200-500
546318,254.99999999999997,100,1,£200-500
546319,345.59999999999997,480,1,£200-500
546321,310.0,192,20,£200-500
546322,191.39999999999998,12,4,£100-200
546324,307.44,162,13,£200-500
546326,583.3,508,5,£500-1K
546330,141.45,79,9,£100-200
546331,57.45,21,4,£50-100
546364,190.52,126,28,£100-200
546366,106.11,75,19,£100-200
546367,1726.6000000000001,504,30,>£1K
546368,280.67,144,16,£200-500
546369,67.5,10,1,£50-100
546372,349.2,88,7,£200-500
546374,10.0,1,1,<£50
546376,311.07,115,19,£200-500
546377,121.17000000000002,63,3,£100-200
546378,578.02,380,38,£500-1K
546380,13.0,6,4,<£50
546381,19.740000000000002,9,9,<£50
546382,227.77999999999997,102,9,£200-500
546383,312.93,332,24,£200-500
546384,826.0699999999999,627,22,£500-1K
546385,1588.16,744,22,>£1K
546386,157.65,91,10,£100-200
546387,572.8,268,17,£500-1K
546388,2676.13,623,90,>£1K
546389,751.9,186,45,£500-1K
546390,14.399999999999999,120,1,<£50
546391,103.65,69,7,£100-200
546392,202.82,94,44,£200-500
546393,1.95,1,1,<£50
546394,627.13,427,39,£500-1K
546396,108.21000000000001,80,16,£100-200
546397,153.75,51,6,£100-200
546398,516.42,254,13,£500-1K
546399,231.3,94,9,£200-500
546401,21.9,12,3,<£50
546402,156.6,84,5,£100-200
546403,572.8,268,17,£500-1K
546404,127.2,120,1,£100-200
546405,198.6,28,3,£100-200
546406,1429.9099999999999,378,156,>£1K
546411,1919.04,736,5,>£1K
546412,70.28999999999999,13,5,£50-100
546413,3.0999999999999996,2,2,<£50
546414,183.25,47,23,£100-200
546415,488.06000000000006,186,18,£200-500
546417,629.25,536,42,£500-1K
546418,109.58,58,17,£100-200
546419,157.56,51,22,£100-200
546420,129.46,62,21,£100-200
546421,301.04,333,37,£200-500
546422,288.71000000000004,123,34,£200-500
546423,220.47,124,63,£200-500
546424,119.72,58,23,£100-200
546425,263.59000000000003,187,18,£200-500
546426,296.88,306,51,£200-500
546427,103.89,54,29,£100-200
546429,371.37,373,96,£200-500
546430,142.0,66,22,£100-200
546431,414.3,338,17,£200-500
546432,227.0,36,11,£200-500
546435,356.19,213,21,£200-500
546436,126.7,44,5,£100-200
546437,371.23,311,22,£200-500
546438,3840.88,2224,38,>£1K
546440,535.02,256,32,£500-1K
546441,446.8,80,7,£200-500
546442,207.3,54,5,£200-500
546443,349.8,480,7,£200-500
546444,7.35,7,2,<£50
546462,208.79999999999998,144,1,£200-500
546464,734.44,260,4,£500-1K
546465,360.24,180,33,£200-500
546466,370.53000000000003,151,74,£200-500
546480,295.0,1,1,£200-500
546486,377.88,172,28,£200-500
546498,538.76,155,85,£500-1K
546502,177.59,82,67,£100-200
546508,184.5,90,4,£100-200
546510,175.72,96,9,£100-200
546521,679.5,130,3,£500-1K
546522,373.84000000000003,175,19,£200-500
546523,52.199999999999996,36,3,£50-100
546524,110.84,45,11,£100-200
546525,619.6,312,16,£500-1K
546526,285.0,120,5,£200-500
546527,149.4,40,2,£100-200
546528,2420.9500000000003,1717,40,>£1K
546531,391.8,208,13,£200-500
546532,140.0,80,2,£100-200
546534,571.06,326,33,£500-1K
546537,181.44,86,34,£100-200
546538,582.35,359,34,£500-1K
546539,2.95,1,1,<£50
546540,512.28,404,8,£500-1K
546542,308.09000000000003,233,82,£200-500
546543,174.85999999999999,110,50,£100-200
546544,454.08,232,16,£200-500
546545,118.05,34,19,£100-200
546549,258.41,132,43,£200-500
546550,6.35,1,1,<£50
546552,271.5,192,17,£200-500
546553,158.23000000000002,121,9,£100-200
546554,251.56,188,15,£200-500
546555,696.85,271,22,£500-1K
546556,309.02,122,11,£200-500
546560,62.5,50,1,£50-100
546561,548.75,356,35,£500-1K
546562,317.56,133,19,£200-500
546563,343.62,222,22,£200-500
546622,108.1,92,26,£100-200
546624,422.53999999999996,250,23,£200-500
546625,170.75,134,25,£100-200
546631,300.0,48,2,£200-500
546632,76.32000000000001,72,1,£50-100
546633,163.2,128,2,£100-200
546634,78.03999999999999,23,12,£50-100
546635,221.19,203,45,£200-500
546636,137.9,56,26,£100-200
546637,292.3,34,3,£200-500
546638,410.7,258,26,£200-500
546639,309.34,238,19,£200-500
546640,238.20000000000002,100,13,£200-500
546643,542.97,286,30,£500-1K
546644,339.34,268,15,£200-500
546646,138.28,138,21,£100-200
546648,1794.43,405,78,>£1K
546649,507.29999999999995,77,46,£500-1K
546650,431.36,58,41,£200-500
546651,440.90999999999997,65,37,£200-500
546652,664.84,119,53,£500-1K
546653,549.52,77,49,£500-1K
546654,503.63,70,34,£500-1K
546655,411.24,53,36,£200-500
546656,662.9499999999999,95,54,£500-1K
546657,5.1,6,1,<£50
546658,501.25,331,33,£500-1K
546659,242.40000000000003,108,9,£200-500
546662,95.0,32,6,£50-100
546663,7.12,3,3,<£50
546665,215.49,77,14,£200-500
546667,236.1,90,14,£200-500
546668,218.1,86,9,£200-500
546669,983.3,710,24,£500-1K
546670,610.88,429,108,£500-1K
546677,363.4,180,3,£200-500
546679,283.73,252,50,£200-500
546681,301.9,206,20,£200-500
546682,352.6,166,22,£200-500
546683,248.27,147,18,£200-500
546684,1829.04,642,29,>£1K
546685,369.9,124,21,£200-500
546686,300.19,117,16,£200-500
546687,422.43,285,22,£200-500
546688,175.3,46,7,£100-200
546689,680.4,230,13,£500-1K
546690,148.5,18,3,£100-200
546691,306.64,192,3,£200-500
546724,6.7,4,4,<£50
546728,290.0,2,1,£200-500
546729,233.75,99,12,£200-500
546731,961.5600000000001,468,31,£500-1K
546732,139.35000000000002,104,19,£100-200
546733,705.6000000000001,336,3,£500-1K
546734,705.6000000000001,336,3,£500-1K
546736,414.71999999999997,576,1,£200-500
546737,439.03,285,29,£200-500
546738,853.08,1208,11,£500-1K
546739,3018.34,2374,42,>£1K
546741,99.0,20,1,£50-100
546742,704.5,514,36,£500-1K
546748,370.48,144,16,£200-500
546749,328.6,44,3,£200-500
546750,15.0,12,1,<£50
546751,311.66,167,26,£200-500
546752,142.5,30,5,£100-200
546753,309.46,298,53,£200-500
546754,384.0,960,3,£200-500
546757,282.29999999999995,162,7,£200-500
546761,432.20000000000005,84,7,£200-500
546762,28.18,22,9,<£50
546763,112.85,37,16,£100-200
546764,300.98,164,17,£200-500
546766,52.8,24,3,£50-100
546767,77.16,84,5,£50-100
546768,584.76,100,6,£500-1K
546769,859.01,523,44,£500-1K
546771,200.7,59,26,£200-500
546772,152.76,156,3,£100-200
546774,581.89,309,102,£500-1K
546775,152.64000000000001,144,1,£100-200
546776,138.88,56,8,£100-200
546778,625.85,251,45,£500-1K
546779,14.850000000000001,3,2,<£50
546781,473.82,404,23,£200-500
546782,232.4,72,12,£200-500
546784,633.1,352,40,£500-1K
546785,302.52,100,5,£200-500
546786,239.0,160,12,£200-500
546787,398.97999999999996,206,12,£200-500
546788,209.85,95,4,£200-500
546789,10065.0,6100,9,>£1K
546790,136.57,90,14,£100-200
546791,665.46,435,42,£500-1K
546827,622.5,150,1,£500-1K
546828,71.4,12,1,£50-100
546829,62.85,31,4,£50-100
546830,449.87,345,14,£200-500
546831,606.84,388,8,£500-1K
546832,333.74,297,5,£200-500
546837,372.12,134,19,£200-500
546846,128.49,96,40,£100-200
546847,437.40000000000003,164,2,£200-500
546848,18.15,11,3,<£50
546849,101.35000000000001,34,24,£100-200
546850,653.57,923,96,£500-1K
546852,111.96,36,2,£100-200
546853,73.5,35,1,£50-100
546855,218.83,127,30,£200-500
546856,372.64,416,30,£200-500
546857,217.43,192,16,£200-500
546860,316.82,286,6,£200-500
546862,914.9300000000001,254,37,£500-1K
546863,676.2,1500,5,£500-1K
546866,232.39000000000001,115,37,£200-500
546871,300.0,150,22,£200-500
546872,16.0,4,2,<£50
546873,326.04,252,11,£200-500
546874,251.51999999999998,88,2,£200-500
546876,0.84,2,2,<£50
546877,142.4,62,5,£100-200
546878,80.0,20,1,£50-100
546882,401.31,175,21,£200-500
546883,223.0,120,16,£200-500
546884,1546.93,372,180,>£1K
546888,1273.8899999999999,290,168,>£1K
546890,320.42,214,21,£200-500
546891,1464.43,385,177,>£1K
546892,1191.71,274,153,>£1K
546896,2398.2,627,298,>£1K
546898,8.8,4,4,<£50
546899,946.2,720,21,£500-1K
546900,25.200000000000003,12,1,<£50
546902,33.2,8,1,<£50
546908,316.85,91,12,£200-500
546909,220.6,207,21,£200-500
546910,145.55,69,28,£100-200
546911,337.71000000000004,173,18,£200-500
546912,474.19,321,66,£200-500
546913,248.29,240,49,£200-500
546914,177.15,69,7,£100-200
546915,359.73,197,19,£200-500
546916,50.25000000000001,15,3,£50-100
546918,309.4,52,4,£200-500
546922,904.26,388,32,£500-1K
546923,166.8,24,1,£100-200
546924,183.6,128,8,£100-200
546926,108.5,150,2,£100-200
546927,1175.44,472,21,>£1K
546928,326.5,196,14,£200-500
546929,555.3,126,6,£500-1K
546933,498.79,1,1,£200-500
546944,567.44,98,25,£500-1K
546949,43.25,22,13,<£50
546950,340.75,124,62,£200-500
546951,377.64,302,61,£200-500
546957,51.45,10,9,£50-100
546963,302.6,203,16,£200-500
546972,1750.62,367,79,>£1K
546973,461.52,61,36,£200-500
546974,404.64,58,35,£200-500
546976,651.1800000000001,80,45,£500-1K
546977,895.2,119,65,£500-1K
546979,752.4300000000001,581,13,£500-1K
546980,462.2,128,23,£200-500
546981,152.55,45,7,£100-200
546982,114.85,145,54,£100-200
546983,795.75,359,47,£500-1K
546984,266.0,159,70,£200-500
546985,111.95,41,5,£100-200
546986,780.35,535,46,£500-1K
546988,282.12,118,18,£200-500
546990,530.4,256,27,£500-1K
546991,167.43,224,22,£100-200
546992,4666.4400000000005,3004,16,>£1K
546993,280.57,139,44,£200-500
546994,152.64000000000001,144,1,£100-200
546995,141.41,94,21,£100-200
546996,234.24,216,5,£200-500
546998,177.84,52,24,£100-200
546999,683.4200000000001,266,6,£500-1K
547000,323.3,279,21,£200-500
547001,357.12,312,3,£200-500
547002,315.18,212,19,£200-500
547003,118.75,25,6,£100-200
547004,321.75,117,17,£200-500
547006,10.15,3,3,<£50
547007,1.25,1,1,<£50
547009,1.25,1,1,<£50
547017,113.35,24,7,£100-200
547018,174.6,162,12,£100-200
547019,115.78,71,22,£100-200
547020,368.36,287,16,£200-500
547021,197.72,76,14,£100-200
547022,22.240000000000002,16,5,<£50
547023,833.1,1014,8,£500-1K
547025,3.75,1,1,<£50
547026,344.90000000000003,96,20,£200-500
547028,447.5,147,23,£200-500
547029,405.0,42,7,£200-500
547030,371.8,168,25,£200-500
547032,662.62,246,3,£500-1K
547033,168.7,76,7,£100-200
547034,361.4,52,8,£200-500
547035,282.28000000000003,208,18,£200-500
547036,380.4,264,11,£200-500
547037,1224.6,3620,4,>£1K
547038,211.5,66,5,£200-500
547039,96.6,10,2,£50-100
547040,62.7,42,2,£50-100
547041,300.0,195,5,£200-500
547042,1880.11,461,224,>£1K
547044,225.4,200,20,£200-500
547045,585.12,200,2,£500-1K
547046,146.87,137,10,£100-200
547047,982.08,184,6,£500-1K
547049,330.5,80,20,£200-500
547050,163.25,191,17,£100-200
547051,138.68,66,10,£100-200
547052,171.75,64,21,£100-200
547053,499.84000000000003,244,11,£200-500
547055,119.08,73,26,£100-200
547056,87.8,44,3,£50-100
547057,130.05,63,6,£100-200
547058,693.1800000000001,568,47,£500-1K
547059,172.9,34,8,£100-200
547060,135.44,116,21,£100-200
547062,224.49,160,65,£200-500
547063,2449.79,1703,294,>£1K
547064,320.62,155,12,£200-500
547065,185.85,83,11,£100-200
547066,562.63,429,30,£500-1K
547067,501.24,324,10,£500-1K
547068,393.0,190,20,£200-500
547069,242.0,261,63,£200-500
547070,205.13,133,51,£200-500
547072,76.72,30,6,£50-100
547073,345.82000000000005,168,30,£200-500
547074,176.34,118,11,£100-200
547075,986.75,371,31,£500-1K
547076,446.15,283,17,£200-500
547077,93.4,52,4,£50-100
547078,350.8,188,9,£200-500
547079,267.18,106,34,£200-500
547080,113.5,58,5,£100-200
547081,222.9,126,14,£200-500
547082,27.65,5,5,<£50
547083,247.25,137,43,£200-500
